"iid","match","pid","decision","decision_count","like","like_total","gender","attr_self","sinc_self","fun_self","intel_self","amb_self","attr","sinc","intel","fun","amb","shar","goal","first_round","last_round","same_field","same_origin"
9,1,15,"1",10,5,12,"0",7,6,10,7,7,5,10,8,8,5,5,2,"1","0","0","0"
9,1,16,"1",10,6,12,"0",7,6,10,7,7,8,9,9,7,6,5,2,"0","1","0","0"
9,1,17,"1",10,7,15,"0",7,6,10,7,7,6,8,9,6,6,6,2,"0","0","1","0"
9,0,18,"1",10,7,14,"0",7,6,10,7,7,6,7,8,7,9,6,2,"0","0","0","0"
9,1,19,"1",10,7,13,"0",7,6,10,7,7,8,5,5,6,5,5,2,"0","0","0","0"
9,0,20,"1",10,8,14,"0",7,6,10,7,7,7,8,7,8,7,8,2,"0","0","0","0"
10,1,19,"1",2,9,16,"0",6,8,10,6,9,9,9,9,9,9,9,3,"0","0","0","0"
10,0,20,"1",2,9,16,"0",6,8,10,6,9,9,9,8,10,8,8,3,"0","0","0","0"
12,0,1,"0",3,8,15,"1",9,9,9,10,9,7,8,10,7,7,5,2,"0","0","1","0"
12,0,2,"0",3,8,15,"1",9,9,9,10,9,7,6,10,6,6,5,2,"0","0","1","0"
12,0,3,"0",3,7,15,"1",9,9,9,10,9,6,7,10,6,6,5,2,"0","0","0","0"
12,0,4,"0",3,6,14,"1",9,9,9,10,9,6,5,10,6,6,5,2,"0","0","1","0"
12,0,5,"0",3,7,13,"1",9,9,9,10,9,6,7,10,7,6,5,2,"0","1","1","0"
12,0,6,"0",3,7,14,"1",9,9,9,10,9,6,8,10,6,7,6,2,"0","0","1","0"
12,0,7,"1",3,8,15,"1",9,9,9,10,9,7,9,10,6,6,5,2,"1","0","1","0"
12,1,8,"1",3,9,17,"1",9,9,9,10,9,8,8,10,7,6,5,2,"0","0","0","0"
12,1,9,"1",3,8,18,"1",9,9,9,10,9,8,8,10,7,6,5,2,"0","0","0","0"
12,0,10,"0",3,1,2,"1",9,9,9,10,9,1,1,1,1,1,1,2,"0","0","0","0"
13,1,1,"1",10,10,17,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","1","1","0"
13,0,2,"1",10,10,16,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","0","1","0"
13,0,3,"1",10,10,18,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","0","0","0"
13,0,4,"1",10,10,14,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","0","1","0"
13,0,5,"1",10,10,16,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","0","1","0"
13,0,6,"1",10,10,16,"1",4,7,8,8,3,10,10,10,10,10,10,3,"1","0","1","0"
13,0,7,"1",10,10,17,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","0","1","1"
13,1,8,"1",10,10,15,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","0","0","0"
13,1,9,"1",10,10,18,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","0","0","0"
13,1,10,"1",10,10,17,"1",4,7,8,8,3,10,10,10,10,10,10,3,"0","0","0","0"
14,1,1,"1",10,7,14,"1",9,9,9,9,9,7,8,9,8,9,8,3,"0","0","1","0"
14,1,2,"1",10,9,16,"1",9,9,9,9,9,9,9,9,9,9,9,3,"1","0","1","0"
14,0,3,"1",10,7,15,"1",9,9,9,9,9,7,9,8,8,8,8,3,"0","0","0","0"
14,1,4,"1",10,8,16,"1",9,9,9,9,9,7,7,7,9,9,9,3,"0","0","1","0"
14,1,5,"1",10,7,15,"1",9,9,9,9,9,6,8,6,8,10,10,3,"0","0","1","0"
14,1,6,"1",10,7,16,"1",9,9,9,9,9,6,8,8,7,9,8,3,"0","0","1","0"
14,1,7,"1",10,8,16,"1",9,9,9,9,9,8,8,9,8,9,9,3,"0","0","1","0"
14,1,8,"1",10,8,13,"1",9,9,9,9,9,8,8,8,8,8,7,3,"0","0","0","0"
14,1,9,"1",10,7,14,"1",9,9,9,9,9,7,8,7,8,8,7,3,"0","0","0","0"
14,0,10,"1",10,7,17,"1",9,9,9,9,9,7,8,7,9,8,8,3,"0","1","0","0"
15,1,1,"1",6,8,14,"1",7,7,7,9,9,8,7,9,6,9,7,2,"0","0","1","0"
15,0,2,"1",6,10,18,"1",7,7,7,9,9,10,10,10,10,7,8,2,"0","0","1","0"
15,0,4,"1",6,9,16,"1",7,7,7,9,9,8,8,9,8,8,9,2,"0","0","1","0"
15,0,5,"0",6,5,12,"1",7,7,7,9,9,5,9,9,7,9,5,2,"0","0","1","0"
15,0,6,"1",6,9,13,"1",7,7,7,9,9,9,7,9,7,9,6,2,"0","0","1","0"
15,0,7,"1",6,8,13,"1",7,7,7,9,9,8,7,9,6,9,5,2,"0","0","1","0"
15,1,9,"1",6,7,12,"1",7,7,7,9,9,7,9,8,9,7,7,2,"1","0","0","0"
16,0,1,"1",8,7,13,"1",6,6,8,8,6,7,7,8,8,7,7,2,"0","0","0","0"
16,0,2,"1",8,7,13,"1",6,6,8,8,6,7,8,7,5,7,7,2,"0","0","0","0"
16,0,3,"1",8,6,14,"1",6,6,8,8,6,7,6,6,6,6,6,2,"0","0","0","0"
16,0,4,"1",8,6,10,"1",6,6,8,8,6,6,6,7,7,8,7,2,"0","0","0","0"
16,0,5,"0",8,6,13,"1",6,6,8,8,6,5,8,7,7,7,7,2,"0","0","0","0"
16,0,6,"1",8,6,8,"1",6,6,8,8,6,6,6,8,8,8,7,2,"0","0","0","0"
16,0,7,"1",8,7,12,"1",6,6,8,8,6,8,8,8,6,6,6,2,"0","0","0","0"
16,1,8,"1",8,7,13,"1",6,6,8,8,6,8,7,7,7,8,7,2,"0","0","0","0"
16,1,9,"1",8,6,12,"1",6,6,8,8,6,6,6,7,8,7,7,2,"0","1","0","0"
17,0,1,"0",2,2,8,"1",7,7,6,8,4,3,6,7,5,8,7,4,"1","0","0","0"
17,0,2,"0",2,4,12,"1",7,7,6,8,4,5,3,4,3,5,3,4,"0","0","0","0"
17,0,3,"0",2,2,10,"1",7,7,6,8,4,6,3,5,4,5,4,4,"0","0","0","0"
17,0,4,"1",2,6,11,"1",7,7,6,8,4,7,6,3,5,6,5,4,"0","1","0","0"
17,0,5,"0",2,3,9,"1",7,7,6,8,4,2,3,4,4,5,3,4,"0","0","0","0"
17,0,6,"0",2,3,11,"1",7,7,6,8,4,5,6,8,4,5,4,4,"0","0","0","0"
17,0,7,"0",2,5,13,"1",7,7,6,8,4,7,6,5,4,4,3,4,"0","0","0","0"
17,0,8,"0",2,4,10,"1",7,7,6,8,4,6,4,7,5,6,4,4,"0","0","1","0"
17,1,9,"1",2,8,15,"1",7,7,6,8,4,8,6,7,8,6,5,4,"0","0","1","0"
17,0,10,"0",2,3,10,"1",7,7,6,8,4,7,7,4,3,4,4,4,"0","0","1","0"
18,0,1,"0",3,7,13,"1",6,8,6,8,9,6,7,5,6,8,6,2,"0","0","0","0"
18,0,2,"1",3,7,12,"1",6,8,6,8,9,7,7,7,7,7,5,2,"0","0","0","0"
18,0,3,"0",3,5,13,"1",6,8,6,8,9,4,5,6,4,6,4,2,"0","0","0","0"
18,0,4,"0",3,7,13,"1",6,8,6,8,9,6,7,8,6,6,5,2,"1","0","0","0"
18,0,5,"0",3,6,12,"1",6,8,6,8,9,5,5,6,5,5,5,2,"0","0","0","0"
18,0,6,"0",3,7,12,"1",6,8,6,8,9,6,7,8,7,8,5,2,"0","0","0","0"
18,0,7,"1",3,7,12,"1",6,8,6,8,9,8,7,6,7,7,5,2,"0","1","0","0"
18,1,8,"1",3,7,12,"1",6,8,6,8,9,9,8,8,8,7,5,2,"0","0","0","0"
18,0,9,"0",3,7,14,"1",6,8,6,8,9,7,7,7,7,6,5,2,"0","0","0","0"
18,0,10,"0",3,7,12,"1",6,8,6,8,9,6,6,6,6,6,5,2,"0","0","0","0"
19,1,2,"1",9,8,13,"1",10,6,10,10,10,8,6,9,9,8,7,5,"0","0","0","0"
19,0,3,"1",9,7,16,"1",10,6,10,10,10,7,7,6,8,7,7,5,"0","1","0","0"
19,1,4,"1",9,8,16,"1",10,6,10,10,10,7,7,7,10,9,10,5,"0","0","0","0"
19,1,5,"1",9,7,16,"1",10,6,10,10,10,5,9,9,9,9,6,5,"0","0","0","0"
19,1,6,"1",9,6,15,"1",10,6,10,10,10,6,7,7,6,6,6,5,"0","0","0","0"
19,1,7,"1",9,9,15,"1",10,6,10,10,10,9,7,9,9,9,10,5,"0","0","0","0"
19,1,8,"1",9,8,15,"1",10,6,10,10,10,8,7,8,10,8,10,5,"1","0","0","0"
19,1,9,"1",9,6,13,"1",10,6,10,10,10,6,6,6,7,6,6,5,"0","0","0","0"
19,1,10,"1",9,7,16,"1",10,6,10,10,10,7,7,7,7,6,6,5,"0","0","0","0"
20,0,1,"0",1,6,12,"1",7,7,10,10,10,6,6,6,6,6,6,2,"0","0","0","0"
20,0,2,"0",1,6,14,"1",7,7,10,10,10,6,5,7,7,9,7,2,"0","0","0","0"
20,0,3,"0",1,5,13,"1",7,7,10,10,10,5,6,8,5,8,6,2,"1","0","0","0"
20,0,4,"0",1,7,17,"1",7,7,10,10,10,7,8,8,7,8,7,2,"0","0","0","0"
20,0,5,"0",1,4,14,"1",7,7,10,10,10,3,10,7,7,10,5,2,"0","0","0","0"
20,0,6,"0",1,6,15,"1",7,7,10,10,10,7,10,10,6,10,7,2,"0","1","0","0"
20,0,7,"0",1,7,14,"1",7,7,10,10,10,7,6,8,6,8,7,2,"0","0","0","0"
20,1,8,"1",1,8,16,"1",7,7,10,10,10,8,10,9,9,8,8,2,"0","0","0","0"
20,0,9,"0",1,6,14,"1",7,7,10,10,10,5,6,6,6,6,6,2,"0","0","0","0"
20,0,10,"0",1,7,16,"1",7,7,10,10,10,6,6,6,6,6,6,2,"0","0","0","0"
21,0,41,"0",2,7,12,"0",5,9,7,9,10,5,8,7,5,9,5,0,"0","0","0","0"
21,0,42,"1",2,9,15,"0",5,9,7,9,10,8,9,8,8,7,6,0,"0","0","1","0"
21,0,43,"0",2,6,11,"0",5,9,7,9,10,5,8,8,4,9,3,0,"0","0","0","0"
21,0,44,"0",2,6,14,"0",5,9,7,9,10,7,7,8,5,7,2,0,"0","0","0","0"
21,0,45,"0",2,5,12,"0",5,9,7,9,10,6,8,8,6,8,4,0,"0","0","0","0"
21,0,46,"0",2,8,16,"0",5,9,7,9,10,6,8,8,6,8,5,0,"0","0","0","0"
21,0,47,"0",2,5,10,"0",5,9,7,9,10,4,7,7,4,7,3,0,"0","0","0","0"
21,0,48,"0",2,6,10,"0",5,9,7,9,10,7,7,7,5,6,3,0,"0","1","0","0"
21,0,49,"1",2,9,15,"0",5,9,7,9,10,9,9,10,9,9,8,0,"0","0","0","0"
21,0,50,"0",2,6,13,"0",5,9,7,9,10,5,7,7,7,7,6,0,"0","0","0","0"
21,0,51,"0",2,2,7,"0",5,9,7,9,10,7,4,6,4,4,2,0,"0","0","0","0"
21,0,52,"0",2,6,12,"0",5,9,7,9,10,5,8,8,5,8,2,0,"0","0","0","0"
21,0,53,"0",2,6,13,"0",5,9,7,9,10,6,8,7,7,7,2,0,"0","0","0","0"
21,0,54,"0",2,6,11,"0",5,9,7,9,10,6,8,7,6,8,2,0,"0","0","0","0"
21,0,55,"0",2,8,14,"0",5,9,7,9,10,5,9,9,8,9,5,0,"1","0","0","0"
22,0,41,"0",7,3,8,"0",7,8,7,8,7,4,7,6,6,7,2,2,"0","0","0","0"
22,0,42,"0",7,3,5,"0",7,8,7,8,7,5,6,6,5,6,3,2,"0","0","0","0"
22,0,43,"0",7,4,9,"0",7,8,7,8,7,5,7,7,5,7,3,2,"0","0","0","0"
22,1,44,"1",7,6,12,"0",7,8,7,8,7,6,8,8,7,7,6,2,"1","0","0","0"
22,1,45,"1",7,6,12,"0",7,8,7,8,7,6,7,7,4,6,6,2,"0","0","0","0"
22,0,46,"1",7,7,12,"0",7,8,7,8,7,8,7,7,7,6,7,2,"0","0","0","0"
22,0,47,"0",7,5,9,"0",7,8,7,8,7,5,7,7,6,6,5,2,"0","0","0","0"
22,0,48,"1",7,7,12,"0",7,8,7,8,7,7,7,7,7,7,6,2,"0","0","0","0"
22,0,49,"0",7,5,12,"0",7,8,7,8,7,6,7,7,5,7,4,2,"0","0","0","0"
22,0,50,"1",7,6,13,"0",7,8,7,8,7,5,6,7,7,7,7,2,"0","0","0","0"
22,0,51,"0",7,2,4,"0",7,8,7,8,7,3,4,5,4,4,2,2,"0","0","0","0"
22,0,52,"0",7,2,6,"0",7,8,7,8,7,3,6,7,5,5,4,2,"0","1","0","0"
22,0,53,"1",7,8,15,"0",7,8,7,8,7,7,7,8,6,7,8,2,"0","0","0","0"
22,0,54,"0",7,4,10,"0",7,8,7,8,7,4,5,5,4,5,4,2,"0","0","0","0"
22,0,55,"1",7,7,14,"0",7,8,7,8,7,6,7,7,7,7,7,2,"0","0","0","0"
23,0,41,"0",6,7,12,"0",5,8,6,7,8,5,7,7,6,6,7,2,"0","0","0","0"
23,1,43,"1",6,7,13,"0",5,8,6,7,8,5,7,8,6,6,7,2,"0","0","0","0"
23,1,44,"1",6,9,17,"0",5,8,6,7,8,7,7,7,6,6,9,2,"0","0","1","0"
23,1,45,"1",6,7,14,"0",5,8,6,7,8,6,7,7,6,7,5,2,"1","0","0","0"
23,0,46,"1",6,7,15,"0",5,8,6,7,8,7,6,7,7,7,6,2,"0","0","0","0"
23,0,47,"0",6,6,12,"0",5,8,6,7,8,5,6,7,6,6,6,2,"0","0","0","0"
23,0,48,"0",6,6,9,"0",5,8,6,7,8,6,6,6,8,6,5,2,"0","0","0","0"
23,0,49,"1",6,8,14,"0",5,8,6,7,8,7,7,6,7,6,7,2,"0","0","0","0"
23,0,50,"1",6,7,14,"0",5,8,6,7,8,6,6,7,8,8,7,2,"0","0","0","0"
23,0,51,"0",6,6,8,"0",5,8,6,7,8,7,6,5,4,4,4,2,"0","0","0","0"
23,0,52,"0",6,6,11,"0",5,8,6,7,8,6,6,5,7,5,6,2,"0","0","0","0"
23,0,54,"0",6,6,13,"0",5,8,6,7,8,6,7,6,6,5,5,2,"0","0","0","0"
23,0,55,"0",6,6,13,"0",5,8,6,7,8,6,8,7,6,7,5,2,"0","1","0","0"
27,0,42,"0",1,2,11,"0",6,6,7,7,7,1,4,6,2,6,1,2,"0","0","0","0"
27,0,43,"0",1,2,8,"0",6,6,7,7,7,1,6,7,6,4,3,2,"0","0","0","0"
27,0,44,"0",1,1,8,"0",6,6,7,7,7,1,3,4,2,2,1,2,"0","0","1","0"
27,0,45,"0",1,1,9,"0",6,6,7,7,7,3,6,6,4,5,1,2,"1","0","0","0"
27,0,47,"0",1,3,10,"0",6,6,7,7,7,1,4,5,4,4,4,2,"0","0","0","0"
27,0,48,"0",1,3,10,"0",6,6,7,7,7,4,6,4,5,6,7,2,"0","0","0","0"
27,1,50,"1",1,4,12,"0",6,6,7,7,7,6,5,6,7,8,4,2,"0","0","0","0"
27,0,51,"0",1,2,8,"0",6,6,7,7,7,1,2,6,1,6,2,2,"0","0","0","0"
27,0,52,"0",1,1,8,"0",6,6,7,7,7,1,3,7,1,4,2,2,"0","0","0","0"
27,0,53,"0",1,3,11,"0",6,6,7,7,7,6,4,8,3,8,2,2,"0","0","0","0"
27,0,54,"0",1,1,9,"0",6,6,7,7,7,2,4,7,3,6,2,2,"0","0","0","0"
27,0,55,"0",1,4,14,"0",6,6,7,7,7,5,6,6,4,3,4,2,"0","1","0","0"
29,1,44,"1",6,6,13,"0",6,9,8,7,8,8,6,7,3,7,2,2,"0","0","0","0"
29,1,45,"1",6,6,13,"0",6,9,8,7,8,6,8,7,4,7,2,2,"0","0","0","0"
29,0,48,"1",6,8,13,"0",6,9,8,7,8,8,7,8,8,8,6,2,"0","0","0","0"
29,0,49,"0",6,5,12,"0",6,9,8,7,8,7,5,6,8,6,4,2,"0","0","0","0"
29,0,51,"1",6,6,12,"0",6,9,8,7,8,6,7,7,4,6,6,2,"1","0","0","0"
29,0,52,"1",6,8,13,"0",6,9,8,7,8,6,8,8,5,7,5,2,"0","0","0","0"
29,0,54,"0",6,6,12,"0",6,9,8,7,8,6,7,6,4,6,5,2,"0","0","0","0"
29,0,55,"1",6,6,13,"0",6,9,8,7,8,6,8,7,6,5,3,2,"0","0","0","0"
30,0,41,"0",3,8,15,"0",7,8,9,8,8,8,9,8,5,9,5,2,"1","0","1","0"
30,0,42,"0",3,8,14,"0",7,8,9,8,8,6,7,8,7,8,7,2,"0","0","0","0"
30,0,43,"0",3,6,9,"0",7,8,9,8,8,4,6,6,5,7,6,2,"0","0","0","0"
30,0,44,"0",3,7,15,"0",7,8,9,8,8,6,9,7,5,6,3,2,"0","0","0","0"
30,0,45,"0",3,4,10,"0",7,8,9,8,8,4,5,5,2,6,5,2,"0","0","0","0"
30,0,46,"0",3,7,14,"0",7,8,9,8,8,8,7,7,7,5,5,2,"0","0","0","0"
30,0,47,"0",3,8,14,"0",7,8,9,8,8,5,5,5,7,7,6,2,"0","0","0","0"
30,0,48,"0",3,8,12,"0",7,8,9,8,8,7,7,5,7,5,7,2,"0","0","0","0"
30,1,49,"1",3,9,16,"0",7,8,9,8,8,8,7,7,7,7,7,2,"0","0","0","0"
30,0,51,"0",3,4,8,"0",7,8,9,8,8,5,5,5,2,4,3,2,"0","0","1","0"
30,0,52,"0",3,7,12,"0",7,8,9,8,8,3,7,8,6,7,5,2,"0","0","1","0"
30,0,53,"1",3,9,16,"0",7,8,9,8,8,7,7,8,7,9,7,2,"0","0","0","1"
30,0,54,"0",3,6,12,"0",7,8,9,8,8,3,5,8,4,7,6,2,"0","0","0","0"
30,1,55,"1",3,8,16,"0",7,8,9,8,8,7,7,8,8,7,8,2,"0","0","1","0"
31,0,42,"0",3,5,9,"0",8,8,9,8,9,4,5,6,5,6,4,2,"0","0","0","0"
31,0,43,"0",3,5,11,"0",8,8,9,8,9,4,5,6,5,5,5,2,"0","0","0","0"
31,0,44,"0",3,5,14,"0",8,8,9,8,9,4,6,7,5,8,5,2,"0","0","0","0"
31,0,45,"0",3,5,13,"0",8,8,9,8,9,4,5,7,3,6,4,2,"0","0","0","0"
31,0,46,"0",3,7,15,"0",8,8,9,8,9,9,6,7,7,6,5,2,"0","0","0","0"
31,0,47,"0",3,4,10,"0",8,8,9,8,9,2,3,4,2,6,2,2,"0","0","0","0"
31,1,48,"1",3,8,16,"0",8,8,9,8,9,8,9,8,8,8,8,2,"0","0","0","0"
31,1,49,"1",3,7,15,"0",8,8,9,8,9,7,8,8,6,7,5,2,"0","0","0","0"
31,1,50,"1",3,9,16,"0",8,8,9,8,9,9,7,8,9,8,8,2,"0","0","1","0"
31,0,51,"0",3,5,11,"0",8,8,9,8,9,4,6,5,5,5,5,2,"0","1","1","0"
31,0,52,"0",3,6,13,"0",8,8,9,8,9,3,8,8,5,5,5,2,"1","0","1","0"
31,0,54,"0",3,5,12,"0",8,8,9,8,9,4,5,6,4,5,5,2,"0","0","0","0"
33,0,41,"0",4,5,13,"0",6,8,6,8,8,2,6,7,4,6,2,0,"0","0","0","0"
33,0,42,"0",4,5,11,"0",6,8,6,8,8,6,8,6,6,6,5,0,"0","0","0","0"
33,0,43,"1",4,6,10,"0",6,8,6,8,8,5,7,7,5,7,5,0,"0","0","0","0"
33,0,44,"0",4,4,10,"0",6,8,6,8,8,5,6,6,2,5,7,0,"0","0","1","0"
33,0,45,"0",4,5,11,"0",6,8,6,8,8,6,6,7,3,7,3,0,"0","0","0","0"
33,0,46,"0",4,6,13,"0",6,8,6,8,8,8,7,9,5,6,4,0,"0","0","0","0"
33,0,47,"0",4,6,12,"0",6,8,6,8,8,4,5,6,7,7,4,0,"0","0","0","0"
33,0,48,"1",4,7,12,"0",6,8,6,8,8,8,7,6,6,7,8,0,"0","0","0","0"
33,0,49,"0",4,7,15,"0",6,8,6,8,8,6,7,8,5,7,5,0,"0","1","0","0"
33,0,50,"1",4,7,14,"0",6,8,6,8,8,7,9,7,7,10,5,0,"1","0","0","0"
